MLSNumber,Status,CloseDate,ListingContractDate,PendingDate,OriginalListPrice,ListPrice,PriceSqFtList,ClosePrice,PriceSqFtSold,Disclosures,SellerToClosingCosts,DOM,CDOM,StreetName,StreetNumber,StreetSuffix,City,StateOrProvince,PostalCode,LotSize,RoomCount,SqFtTotal,Stories,Subdivision,TempOffMarketDate,YearBuilt,BedsTotal,BathsFull,BathsHalf,BathsTotal,Area,PoolPrivate,GarageDesc,NoOfGarageCap
33445685,Sold,11/1/2020,9/17/2020,9/28/2020,239990,239990,146.69,230000,140.59,Mud,0,11,80,Fawn Mountain,2714,Drive,Fresno,Texas,77545,,9,1636,1,Winfield Lakes,,2020,3,2,0,2,38,FALSE,Attached Garage,2
63289046,Sold,10/1/2020,6/18/2020,6/18/2020,222155,222155,125.09,230185,129.61,Mud,0,0,0,Golden Hills,2727,Lane,Fresno,Texas,77545,,10,1776,1,Winfield Lakes,,2020,3,2,0,2,38,FALSE,Attached Garage,2
34138053,Sold,5/26/2021,4/16/2021,4/20/2021,219900,219900,122.1,234500,130.21,Sellers Disclosure,0,4,4,Alcove Foster Court,2426,,Fresno,Texas,77545,,6,1801,2,Windfield Lakes,,2014,3,2,1,2.1,38,FALSE,Attached Garage,2
12617267,Sold,6/11/2021,4/16/2021,5/3/2021,225000,225000,127.19,235000,132.84,"Mud, Sellers Disclosure",1500,10,10,Hurst Green,3123,Lane,Fresno,Texas,77545,5874,3,1769,1,Cambridge Falls Sec 2,,2013,3,2,0,2,38,FALSE,Attached Garage,2
29557436,Sold,4/30/2021,3/30/2021,3/31/2021,234900,234900,133.62,235000,133.67,Sellers Disclosure,0,1,1,Fresh Dawn,2630,Drive,Fresno,Texas,77545,5005,3,1758,1,Winfield Lakes North Sec 1,,2016,3,2,0,2,38,FALSE,Attached Garage,2
26759848,Sold,1/13/2021,11/9/2020,12/16/2020,239900,234900,112.18,235000,112.23,"Mud, Sellers Disclosure",0,26,26,Ashlyn Arbor Drive,2919,Drive,Fresno,Texas,77545,6196,8,2094,1,Cambridge Falls Sec 9,,2017,4,2,0,2,38,FALSE,Attached Garage,2
90783287,Sold,11/1/2020,9/4/2020,9/29/2020,249990,249990,140.52,235000,132.1,Mud,0,25,130,Rose Embers,2703,Court,Fresno,Texas,77545,,10,1779,1,Winfield Lakes,,2020,3,2,0,2,38,FALSE,Attached Garage,2
74383710,Sold,9/28/2020,4/30/2019,12/3/2019,232990,236990,126.66,235000,125.6,Mud,0,87,235,Vales Point,2922,Drive,Fresno,Texas,77545,,10,1871,1,Cambridge Falls,,2019,3,2,0,2,38,FALSE,Attached Garage,2
29878196,Sold,4/26/2021,3/20/2021,3/25/2021,229900,229900,143.51,236000,147.32,Sellers Disclosure,0,5,5,Flickering Leaf,2310,Lane,Fresno,Texas,77545,5265,7,1602,1,Winfield Lakes,,2017,3,2,0,2,38,FALSE,Attached Garage,2
23115659,Sold,10/3/2019,4/30/2019,5/5/2019,236990,236990,116.4,236990,116.4,Mud,0,5,5,Vales Point,2947,Drive,Fresno,Texas,77545,,10,2036,1,Cambridge Falls,,2019,4,2,0,2,38,FALSE,Attached Garage,2
